C:\interview\dataset\training_data\images\0000971160.png,292,91,376,175,other
C:\interview\dataset\training_data\images\0000971160.png,219,316,225,327,question
C:\interview\dataset\training_data\images\0000971160.png,95,355,169,370,question
C:\interview\dataset\training_data\images\0000971160.png,482,268,518,282,question
C:\interview\dataset\training_data\images\0000971160.png,511,309,570,323,answer
C:\interview\dataset\training_data\images\0000971160.png,211,651,217,662,question
C:\interview\dataset\training_data\images\0000971160.png,461,605,483,619,question
C:\interview\dataset\training_data\images\0000971160.png,545,603,563,617,question
C:\interview\dataset\training_data\images\0000971160.png,525,904,641,926,other
C:\interview\dataset\training_data\images\0000971160.png,256,201,423,230,header
C:\interview\dataset\training_data\images\0000971160.png,89,272,204,289,question
C:\interview\dataset\training_data\images\0000971160.png,215,271,451,287,answer
C:\interview\dataset\training_data\images\0000971160.png,543,264,590,279,answer
C:\interview\dataset\training_data\images\0000971160.png,420,310,491,323,question
C:\interview\dataset\training_data\images\0000971160.png,236,313,327,327,answer
C:\interview\dataset\training_data\images\0000971160.png,91,316,218,331,question
C:\interview\dataset\training_data\images\0000971160.png,190,346,594,447,answer
C:\interview\dataset\training_data\images\0000971160.png,95,486,250,504,question
C:\interview\dataset\training_data\images\0000971160.png,263,483,593,553,answer
C:\interview\dataset\training_data\images\0000971160.png,96,608,398,624,header
C:\interview\dataset\training_data\images\0000971160.png,98,651,211,665,question
C:\interview\dataset\training_data\images\0000971160.png,232,644,547,662,answer
C:\interview\dataset\training_data\images\0000971160.png,99,662,323,677,answer
C:\interview\dataset\training_data\images\0000971160.png,102,823,145,838,other
C:\interview\dataset\training_data\images\0000989556.png,76,129,118,139,question
C:\interview\dataset\training_data\images\0000989556.png,73,141,119,153,question
C:\interview\dataset\training_data\images\0000989556.png,145,127,197,137,answer
C:\interview\dataset\training_data\images\0000989556.png,349,130,409,139,question
C:\interview\dataset\training_data\images\0000989556.png,350,142,407,155,question
C:\interview\dataset\training_data\images\0000989556.png,350,157,402,167,question
C:\interview\dataset\training_data\images\0000989556.png,419,144,467,154,answer
C:\interview\dataset\training_data\images\0000989556.png,512,171,567,183,answer
C:\interview\dataset\training_data\images\0000989556.png,404,240,461,255,header
C:\interview\dataset\training_data\images\0000989556.png,377,475,441,487,header
C:\interview\dataset\training_data\images\0000989556.png,70,488,151,498,question
C:\interview\dataset\training_data\images\0000989556.png,72,513,109,525,question
C:\interview\dataset\training_data\images\0000989556.png,72,557,135,569,question
C:\interview\dataset\training_data\images\0000989556.png,73,609,140,621,question
C:\interview\dataset\training_data\images\0000989556.png,234,488,285,500,answer
C:\interview\dataset\training_data\images\0000989556.png,235,501,287,514,answer
C:\interview\dataset\training_data\images\0000989556.png,228,543,259,555,answer
C:\interview\dataset\training_data\images\0000989556.png,293,558,356,567,answer
C:\interview\dataset\training_data\images\0000989556.png,377,515,407,527,question
C:\interview\dataset\training_data\images\0000989556.png,377,558,428,568,question
C:\interview\dataset\training_data\images\0000989556.png,475,558,508,570,question
C:\interview\dataset\training_data\images\0000989556.png,377,599,443,609,question
C:\interview\dataset\training_data\images\0000989556.png,377,614,458,624,question
C:\interview\dataset\training_data\images\0000989556.png,476,488,515,500,answer
C:\interview\dataset\training_data\images\0000989556.png,554,558,591,567,other
C:\interview\dataset\training_data\images\0000989556.png,494,587,522,596,answer
C:\interview\dataset\training_data\images\0000989556.png,448,558,457,567,answer
C:\interview\dataset\training_data\images\0000989556.png,299,683,336,693,question
C:\interview\dataset\training_data\images\0000989556.png,299,778,333,788,question
C:\interview\dataset\training_data\images\0000989556.png,533,829,653,853,other
C:\interview\dataset\training_data\images\0000989556.png,72,750,108,762,question
C:\interview\dataset\training_data\images\0000989556.png,73,777,137,789,question
C:\interview\dataset\training_data\images\0000989556.png,72,804,111,816,other
C:\interview\dataset\training_data\images\0000989556.png,165,777,192,789,answer
C:\interview\dataset\training_data\images\0000989556.png,527,33,618,48,other
